               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063323,           0.0029212,                   0,             0.57255,             0.35337,             0.41033,               0.296,            0.047303,           0.0015052,                   0,            0.070021,            0.003331,            0.003331
                   1,            0.049199,           0.0030607,                   0,             0.65565,             0.37107,             0.39595,             0.24728,            0.052107,           0.0014582,                   0,            0.039955,           0.0065983,           0.0065983
                   2,             0.04871,           0.0030052,                   0,             0.56729,             0.42524,             0.43306,             0.26307,            0.046298,           0.0014495,                   0,           0.0098234,           0.0097997,           0.0097997
                   3,            0.047873,            0.003014,                   0,              0.5097,              0.4415,             0.40359,             0.23243,            0.048551,           0.0014314,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.045299,           0.0030152,                   0,             0.62072,             0.44041,             0.47707,             0.30291,             0.04738,           0.0014054,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.043894,           0.0030099,                   0,              0.5931,             0.43586,              0.4678,             0.26888,            0.045578,           0.0014101,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04317,           0.0030071,                   0,              0.5536,             0.45829,             0.45773,             0.26968,            0.046449,            0.001378,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042343,           0.0030005,                   0,             0.60891,             0.45612,             0.46215,             0.28141,            0.046666,           0.0014386,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040864,           0.0029787,                   0,             0.62762,             0.48862,              0.4819,             0.28552,            0.047445,           0.0014403,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.04066,           0.0029904,                   0,             0.59195,             0.46804,             0.45981,             0.26289,            0.048317,           0.0014572,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.040278,           0.0029836,                   0,             0.66458,             0.46858,             0.50392,             0.31451,            0.045808,           0.0013869,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.039742,           0.0029664,                   0,             0.64726,             0.47562,             0.49552,             0.29383,            0.046058,           0.0014128,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.039297,           0.0029702,                   0,             0.64104,             0.45341,             0.49812,             0.30065,            0.046864,           0.0014127,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.03849,           0.0029727,                   0,             0.64732,             0.47237,              0.5162,             0.31883,             0.04709,           0.0013845,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03751,           0.0029472,                   0,             0.68163,             0.47887,             0.51618,             0.31716,            0.046273,           0.0013866,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.03673,           0.0029553,                   0,             0.68751,             0.46262,              0.5084,             0.31291,            0.046318,           0.0013981,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.036244,           0.0029571,                   0,             0.66751,             0.46696,             0.49953,             0.30151,            0.046386,           0.0014044,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.034845,           0.0029437,                   0,             0.67732,             0.45504,             0.49577,             0.29478,            0.046451,           0.0014096,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.03376,            0.002921,                   0,             0.67052,             0.47073,             0.49622,             0.30003,            0.046272,           0.0014173,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.033313,           0.0029162,                   0,             0.67951,             0.46208,             0.50118,             0.30333,            0.046116,           0.0014384,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.031877,           0.0028976,                   0,             0.66212,             0.45541,             0.49319,             0.29564,            0.046371,           0.0014218,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.031398,           0.0028837,                   0,             0.65992,             0.41942,             0.46664,             0.28424,            0.046669,           0.0014597,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.030581,           0.0028581,                   0,             0.65504,             0.44095,             0.48367,              0.2919,             0.04629,             0.00145,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.029118,            0.002801,                   0,             0.66856,             0.44908,             0.49031,              0.2865,             0.04632,           0.0014305,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.027771,            0.002749,                   0,              0.6443,              0.4494,             0.48635,             0.28725,            0.046135,             0.00144,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.027463,           0.0027277,                   0,             0.64101,              0.4572,             0.47001,             0.27676,            0.046592,           0.0014611,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026324,            0.002658,                   0,             0.63451,             0.45329,             0.47907,             0.27593,            0.045974,           0.0014643,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.025304,           0.0025986,                   0,             0.64677,              0.4507,             0.48136,             0.28088,            0.045983,           0.0014651,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.024257,           0.0025575,                   0,             0.63159,             0.46371,             0.48096,             0.28434,            0.046049,           0.0014804,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.02387,           0.0025316,                   0,             0.64888,             0.46451,             0.48886,                0.29,            0.045885,           0.0014678,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.023114,           0.0024735,                   0,             0.64589,             0.44859,             0.48207,              0.2832,            0.046071,           0.0014817,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.022402,           0.0024206,                   0,             0.63954,             0.45077,             0.47466,             0.27895,            0.046708,           0.0014818,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.021956,           0.0024028,                   0,             0.62739,             0.44745,             0.47866,             0.28041,              0.0466,           0.0014954,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.021311,           0.0023587,                   0,             0.62529,             0.45233,             0.48112,              0.2845,            0.046647,           0.0015001,                   0,            0.006832,            0.006832,            0.006832
