               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062193,            0.077915,                   0,             0.18011,             0.41775,             0.21125,            0.080641,            0.070349,            0.074553,                   0,            0.070016,           0.0033315,           0.0033315
                   1,            0.062177,            0.077727,                   0,             0.18124,             0.40372,             0.20867,            0.079792,             0.07049,            0.074501,                   0,             0.03995,           0.0065989,           0.0065989
                   2,            0.062214,            0.077612,                   0,              0.1868,             0.40039,              0.2145,            0.081558,            0.070542,            0.074654,                   0,           0.0098182,           0.0098002,           0.0098002
                   3,            0.062267,            0.077467,                   0,             0.18621,             0.40028,             0.21118,            0.080127,            0.070491,            0.074464,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.062186,            0.077271,                   0,             0.18718,             0.40833,             0.21405,            0.081194,            0.070415,            0.074383,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.062072,             0.07691,                   0,             0.19143,             0.38462,             0.21207,            0.080798,            0.070509,            0.074465,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.062119,            0.077241,                   0,             0.18929,             0.39945,              0.2143,            0.081608,            0.070551,            0.074201,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.062051,            0.077214,                   0,             0.18587,             0.41497,             0.21474,            0.082324,            0.070417,            0.074334,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.062063,            0.077099,                   0,             0.19233,              0.4079,             0.21832,            0.082453,             0.07042,            0.074162,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.061989,             0.07708,                   0,             0.18529,             0.41551,              0.2142,            0.080976,            0.070438,            0.074485,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.061941,            0.077033,                   0,             0.18486,             0.41012,             0.21314,             0.08066,            0.070529,            0.074463,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.061908,            0.076947,                   0,              0.1872,              0.3972,              0.2128,            0.080934,            0.070566,            0.074745,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.061858,            0.076943,                   0,             0.18702,               0.404,             0.21371,            0.081203,            0.070569,            0.074575,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.061858,            0.076905,                   0,             0.18861,             0.40439,             0.21584,            0.082291,            0.070571,            0.074427,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.061787,            0.076883,                   0,             0.18878,             0.40048,             0.21376,            0.081554,            0.070577,            0.074686,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.061791,            0.076813,                   0,             0.18631,             0.40983,              0.2142,            0.080993,            0.070599,            0.074689,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.061805,            0.076792,                   0,              0.1883,             0.40188,             0.21322,            0.081324,            0.070612,            0.074746,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.061733,            0.076695,                   0,             0.18839,             0.39733,             0.21289,            0.080335,            0.070649,            0.074731,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.061771,            0.076614,                   0,              0.1888,             0.39694,             0.21341,            0.081299,            0.070668,            0.074697,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.061725,            0.076661,                   0,             0.18832,             0.39464,             0.21293,            0.080138,            0.070713,            0.074712,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.061674,             0.07661,                   0,             0.18699,             0.39541,             0.21227,            0.080063,            0.070704,            0.074798,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.061698,            0.076512,                   0,             0.18488,             0.39663,             0.21176,            0.079987,            0.070706,            0.074941,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.061637,            0.076502,                   0,             0.18454,             0.39925,               0.212,            0.080012,            0.070704,             0.07489,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.061619,            0.076438,                   0,              0.1857,             0.39054,             0.21162,            0.079634,            0.070709,            0.075044,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.061611,            0.076401,                   0,             0.18634,             0.38992,             0.21141,            0.079536,            0.070735,             0.07507,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.061556,             0.07641,                   0,             0.18749,             0.38719,             0.21113,            0.079348,            0.070741,            0.075103,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.061496,            0.076293,                   0,              0.1882,             0.38557,             0.21131,            0.079245,            0.070754,            0.075141,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.061518,            0.076271,                   0,             0.18825,             0.38402,             0.21086,            0.079063,            0.070752,            0.075204,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.061524,            0.076195,                   0,             0.18881,              0.3839,             0.21102,            0.079225,            0.070761,            0.075279,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.061531,            0.076174,                   0,             0.18895,             0.38326,             0.21092,            0.079159,            0.070773,            0.075325,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.061487,            0.076092,                   0,             0.18889,             0.38426,             0.21072,             0.07903,            0.070783,            0.075336,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.061416,            0.076044,                   0,             0.18886,             0.38327,             0.21036,            0.078959,            0.070798,            0.075378,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.061418,            0.075966,                   0,             0.18904,             0.38261,             0.21033,            0.079055,            0.070809,            0.075414,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.061316,            0.075941,                   0,             0.18941,             0.38264,             0.21043,            0.078982,            0.070814,            0.075438,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.061352,            0.075875,                   0,              0.1894,             0.38135,             0.21034,            0.078881,            0.070812,            0.075497,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.06129,            0.075809,                   0,             0.18926,             0.37995,             0.21013,            0.078732,            0.070812,            0.075531,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.061315,            0.075734,                   0,             0.18955,             0.37915,              0.2101,            0.078699,            0.070812,            0.075571,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.061264,             0.07572,                   0,             0.18943,             0.37829,             0.20997,            0.078721,            0.070813,            0.075594,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.061225,            0.075679,                   0,             0.18954,             0.37767,             0.20974,            0.078604,            0.070816,            0.075612,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.061227,            0.075601,                   0,              0.1897,             0.37692,             0.20979,            0.078734,            0.070815,            0.075641,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.061201,            0.075536,                   0,             0.18963,             0.37579,             0.20954,            0.078638,            0.070818,            0.075679,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.061203,             0.07552,                   0,             0.18942,             0.37491,             0.20944,            0.078616,            0.070817,            0.075708,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.06117,            0.075429,                   0,             0.18954,             0.37425,             0.20937,            0.078515,             0.07082,            0.075733,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.061113,            0.075366,                   0,             0.18955,             0.37364,             0.20916,            0.078475,            0.070821,            0.075746,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.061122,            0.075344,                   0,             0.18971,             0.37322,             0.20899,            0.078393,            0.070824,            0.075766,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.06107,            0.075272,                   0,              0.1897,             0.37279,             0.20882,            0.078306,            0.070825,            0.075785,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.061067,            0.075211,                   0,             0.18988,             0.37268,             0.20877,            0.078225,            0.070823,            0.075808,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.061057,            0.075182,                   0,             0.18964,             0.37172,             0.20859,            0.078153,            0.070824,            0.075831,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.061031,            0.075064,                   0,             0.18975,             0.37067,             0.20847,             0.07808,            0.070824,            0.075869,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.061012,            0.075023,                   0,             0.18966,             0.36997,             0.20832,            0.078014,            0.070825,            0.075884,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.060942,            0.074958,                   0,             0.18982,             0.36899,             0.20821,            0.078042,            0.070825,            0.075906,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.060926,            0.074906,                   0,             0.18981,             0.36866,             0.20818,            0.078049,            0.070828,            0.075914,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.060916,            0.074875,                   0,             0.18972,             0.36787,             0.20799,            0.077967,            0.070829,            0.075929,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.060902,            0.074788,                   0,             0.18961,             0.36711,             0.20773,            0.077883,             0.07083,            0.075957,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.060881,            0.074675,                   0,             0.18975,             0.36667,             0.20761,             0.07753,            0.070831,            0.075974,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.060835,            0.074659,                   0,             0.18966,             0.36582,             0.20733,            0.077434,            0.070834,            0.075993,                   0,            0.004654,            0.004654,            0.004654
