               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066731,           0.0028198,                   0,             0.53123,             0.34148,             0.34881,             0.22928,            0.040364,           0.0016905,                   0,            0.070032,           0.0033297,           0.0033297
                   1,             0.05262,           0.0030425,                   0,             0.48461,             0.44635,             0.44358,             0.28611,            0.043846,           0.0015607,                   0,            0.039966,           0.0065971,           0.0065971
                   2,            0.051069,           0.0030118,                   0,             0.47219,             0.38364,             0.36738,             0.24324,            0.044023,           0.0015543,                   0,           0.0098345,           0.0097985,           0.0097985
                   3,            0.049742,           0.0029872,                   0,             0.59095,             0.44435,             0.47266,             0.29812,            0.043625,           0.0015019,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.047757,           0.0030084,                   0,             0.54952,             0.46459,             0.47006,             0.28541,            0.043155,           0.0014432,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.046155,            0.003014,                   0,             0.56748,             0.48345,             0.50127,              0.3284,            0.044251,           0.0014421,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.044829,           0.0030237,                   0,             0.55818,             0.46121,             0.46059,             0.28468,            0.045775,           0.0014506,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043054,            0.003022,                   0,             0.53942,             0.46796,             0.46463,             0.27926,            0.043599,           0.0014602,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.042668,           0.0030238,                   0,             0.60658,              0.4693,             0.49487,             0.31785,            0.044042,            0.001464,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.041843,           0.0030327,                   0,             0.61994,             0.47639,             0.48429,             0.29094,            0.044145,           0.0014413,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.040772,           0.0030185,                   0,             0.59017,             0.47049,              0.5093,              0.3259,            0.042679,           0.0015058,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.04065,           0.0030121,                   0,             0.63395,             0.46712,             0.51087,             0.34182,            0.043759,           0.0014675,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.039596,           0.0030077,                   0,             0.59563,             0.47941,             0.49885,             0.32612,            0.042403,           0.0014816,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.038568,           0.0029964,                   0,             0.62205,             0.46767,              0.4856,             0.31146,            0.043288,           0.0015124,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038219,           0.0030013,                   0,             0.59086,             0.48651,             0.50664,             0.33878,            0.041975,           0.0014731,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.036964,            0.003003,                   0,             0.67906,             0.44243,             0.50092,             0.33828,              0.0422,           0.0014758,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.036929,           0.0029838,                   0,             0.61136,             0.47049,             0.49825,             0.31559,            0.043156,           0.0015306,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.036182,           0.0029846,                   0,             0.64548,             0.45531,               0.489,             0.31412,             0.04396,           0.0014968,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.034506,            0.002966,                   0,             0.61535,             0.45953,             0.48216,             0.30454,            0.043274,           0.0015043,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.033044,           0.0029263,                   0,             0.68106,              0.4051,              0.4556,             0.29197,            0.042642,           0.0015738,                   0,            0.008218,            0.008218,            0.008218
