               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071438,            0.080595,                   0,             0.15464,               0.473,             0.18233,            0.067753,             0.07017,            0.074604,                   0,            0.070016,           0.0033315,           0.0033315
                   1,            0.064031,            0.082601,                   0,             0.16203,             0.46798,             0.18992,             0.07253,            0.069898,            0.075656,                   0,             0.03995,           0.0065989,           0.0065989
                   2,            0.063542,            0.081944,                   0,             0.13878,             0.47327,             0.19003,             0.06975,            0.070487,             0.07533,                   0,           0.0098182,           0.0098002,           0.0098002
                   3,            0.063175,            0.081736,                   0,             0.16392,             0.39612,             0.19487,            0.073845,            0.070373,            0.074128,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.062806,            0.080739,                   0,             0.16468,             0.44037,             0.20018,            0.076771,            0.070003,            0.074527,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.062563,            0.079686,                   0,             0.16854,             0.43016,             0.20228,            0.077809,            0.070541,             0.07437,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.062441,            0.078406,                   0,             0.16505,              0.3941,             0.19599,            0.074823,            0.070273,            0.075197,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.06226,            0.077074,                   0,             0.17088,             0.38116,              0.1985,            0.076444,            0.070158,              0.0767,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.06212,            0.075824,                   0,             0.17822,             0.36953,             0.19676,            0.075701,             0.06999,            0.076967,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.061923,             0.07475,                   0,             0.17471,             0.37978,             0.19889,            0.075815,            0.070267,            0.077754,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.061695,            0.073837,                   0,             0.18272,             0.34191,             0.20141,            0.077457,            0.070314,             0.07726,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.061494,            0.073125,                   0,             0.18737,             0.30356,              0.1948,            0.075261,            0.070745,            0.079639,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.061256,            0.072646,                   0,             0.18082,                0.33,             0.19246,            0.074209,            0.070635,            0.079282,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.06104,            0.072237,                   0,             0.19219,             0.30229,             0.19682,            0.075275,            0.070799,             0.07909,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.060893,            0.071879,                   0,             0.18563,             0.29994,             0.19018,            0.072873,            0.070919,            0.080406,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.060685,            0.071597,                   0,             0.18216,             0.29332,             0.18563,            0.070976,              0.0711,            0.082304,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.060585,            0.071305,                   0,             0.19091,             0.30002,             0.18894,            0.072099,            0.071172,            0.080547,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.060421,            0.071079,                   0,             0.18781,             0.29199,             0.18326,            0.069707,            0.071284,            0.081226,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.060263,            0.070829,                   0,             0.18464,             0.27767,             0.18015,             0.06864,            0.071414,            0.082263,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.060147,            0.070628,                   0,             0.18879,             0.28662,             0.18153,            0.068463,            0.071392,            0.081893,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.059996,            0.070364,                   0,             0.19672,             0.27327,             0.18521,            0.069891,            0.071647,            0.082395,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.05984,            0.070116,                   0,             0.19459,             0.28391,             0.18504,            0.069082,            0.071669,            0.082193,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.059657,             0.06995,                   0,             0.18862,             0.27046,             0.17815,            0.067107,             0.07172,            0.083348,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.059488,            0.069677,                   0,              0.1898,             0.26119,             0.17473,            0.065327,            0.071902,            0.083891,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.059342,            0.069349,                   0,             0.19042,             0.26785,             0.17825,            0.066141,            0.071926,            0.083554,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.059072,            0.069008,                   0,             0.20144,             0.25344,             0.17892,            0.067088,            0.072015,             0.08404,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.058886,            0.068532,                   0,             0.19846,             0.24794,             0.17572,             0.06591,            0.072122,            0.084959,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.058618,            0.068194,                   0,             0.20127,             0.24628,               0.177,            0.066154,            0.072227,            0.085557,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.058349,            0.067747,                   0,             0.20244,             0.24544,             0.17567,            0.065594,            0.072316,             0.08602,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.058179,            0.067343,                   0,             0.20091,             0.23549,             0.17112,             0.06403,            0.072387,            0.086676,                   0,            0.007228,            0.007228,            0.007228
