               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065933,           0.0028899,                   0,             0.54782,             0.33779,             0.33862,              0.2313,            0.047829,           0.0016522,                   0,            0.070029,           0.0033301,           0.0033301
                   1,            0.050669,           0.0030775,                   0,             0.58774,             0.44452,              0.4674,              0.3009,            0.051637,           0.0015264,                   0,            0.039963,           0.0065975,           0.0065975
                   2,            0.050355,           0.0030223,                   0,             0.55517,             0.45657,             0.47571,             0.29907,            0.052882,           0.0015214,                   0,           0.0098311,           0.0097988,           0.0097988
                   3,            0.050398,           0.0030054,                   0,             0.61443,             0.39866,             0.45502,             0.28068,            0.051054,           0.0014617,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.047717,           0.0030184,                   0,             0.62031,             0.45212,             0.49945,             0.32009,             0.05163,           0.0014446,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.045591,           0.0030215,                   0,             0.54101,             0.44321,             0.42833,             0.23162,            0.050934,           0.0014704,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.044515,           0.0030264,                   0,             0.60932,             0.43578,             0.45846,             0.28332,            0.050114,           0.0014426,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043155,           0.0030187,                   0,             0.59771,              0.4833,             0.52805,             0.35234,            0.050209,           0.0014362,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.042871,           0.0030156,                   0,             0.63639,             0.44098,               0.471,             0.28991,            0.050086,           0.0014519,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.041614,           0.0030152,                   0,             0.54939,             0.45137,             0.46739,             0.28767,            0.048132,           0.0014805,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.041219,           0.0030102,                   0,             0.64171,             0.43578,             0.48772,             0.31629,            0.049924,           0.0014874,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.040378,           0.0030108,                   0,             0.57109,             0.46754,             0.45611,             0.27593,            0.050326,           0.0014686,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.040141,           0.0029956,                   0,             0.62647,             0.46399,             0.49143,             0.30459,            0.050147,           0.0014868,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.03953,           0.0030002,                   0,             0.59977,             0.47393,             0.48926,             0.31246,            0.050695,           0.0014953,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038972,           0.0029993,                   0,             0.66857,             0.44469,             0.47238,             0.31976,            0.051247,           0.0015141,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038104,           0.0029914,                   0,             0.64819,             0.46993,             0.49948,             0.32598,            0.050283,           0.0014888,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.037021,           0.0029758,                   0,             0.60877,             0.46251,             0.46626,             0.28567,            0.050355,           0.0015249,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.03678,           0.0029711,                   0,             0.65417,             0.46062,             0.50454,             0.31983,            0.049388,           0.0014871,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035587,           0.0029647,                   0,             0.64862,             0.44618,             0.47842,             0.31429,            0.048401,           0.0015179,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.034897,           0.0029429,                   0,              0.6656,             0.47286,             0.50304,             0.32226,            0.049778,            0.001485,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.033807,           0.0029386,                   0,             0.66716,             0.45286,             0.48414,             0.31561,            0.049038,           0.0014943,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.033468,           0.0029448,                   0,             0.65656,             0.44766,             0.48234,             0.31484,            0.049955,           0.0014784,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.031974,            0.002928,                   0,             0.66833,             0.44879,             0.48437,             0.31605,            0.048979,           0.0015173,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.031005,           0.0029039,                   0,             0.66182,             0.44766,             0.48682,             0.31497,            0.049062,           0.0014889,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.029656,           0.0028561,                   0,               0.684,             0.44618,             0.48497,             0.30705,            0.050287,           0.0014957,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.029664,           0.0029028,                   0,             0.63769,             0.45995,             0.49397,             0.31313,            0.049703,           0.0014972,                   0,            0.007624,            0.007624,            0.007624
                  26,              0.0294,           0.0028663,                   0,             0.62595,             0.44989,             0.48592,             0.31328,            0.049833,           0.0015107,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.02758,           0.0027839,                   0,             0.63496,             0.44395,             0.47232,             0.30255,            0.050123,           0.0015285,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.026256,           0.0027277,                   0,             0.62086,             0.44098,             0.47676,             0.31197,            0.049703,           0.0015114,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.026003,           0.0027138,                   0,             0.63525,             0.42836,             0.46684,             0.29741,            0.049053,            0.001517,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.025002,           0.0026483,                   0,              0.6379,             0.44692,             0.48647,             0.30749,            0.048913,           0.0014968,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.023904,           0.0025977,                   0,             0.62639,             0.44246,             0.46741,             0.28724,            0.049235,           0.0015262,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.023099,           0.0025558,                   0,             0.63601,              0.4239,             0.46056,             0.28955,            0.049845,           0.0015262,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.022159,           0.0025027,                   0,             0.64566,             0.43801,              0.4724,             0.29868,            0.049489,           0.0015194,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.021529,           0.0024066,                   0,             0.63656,             0.43727,             0.46336,             0.28241,            0.049715,           0.0015403,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.021171,           0.0023808,                   0,             0.64424,              0.4423,             0.47374,             0.29304,            0.049643,           0.0015589,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.020031,           0.0023033,                   0,             0.64268,             0.43397,             0.46942,             0.28824,            0.050244,           0.0015494,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.019128,           0.0022421,                   0,             0.65618,             0.42984,             0.47024,              0.2903,            0.049417,           0.0015599,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.019072,           0.0022251,                   0,             0.63602,             0.42316,             0.46079,             0.28708,            0.049499,           0.0015753,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018208,           0.0021355,                   0,             0.61578,             0.43903,             0.45528,             0.27974,            0.049101,           0.0015938,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.017767,           0.0020755,                   0,             0.62408,              0.4239,             0.45714,             0.27835,            0.049159,           0.0016074,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.017184,           0.0020182,                   0,             0.61701,             0.43356,             0.44165,             0.27068,            0.049041,           0.0016074,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.016495,           0.0019385,                   0,             0.61796,              0.4299,             0.43325,             0.25931,            0.049513,            0.001635,                   0,            0.005941,            0.005941,            0.005941
