               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065403,           0.0028898,                   0,             0.56535,             0.33871,             0.39852,             0.28167,            0.044846,           0.0015697,                   0,            0.070024,           0.0033306,           0.0033306
                   1,            0.051047,           0.0030546,                   0,             0.61757,             0.43156,              0.4844,             0.33131,            0.047878,           0.0014535,                   0,            0.039958,            0.006598,            0.006598
                   2,            0.049988,           0.0030096,                   0,             0.65803,             0.37477,              0.4338,             0.28546,            0.052131,           0.0014597,                   0,           0.0098262,           0.0097994,           0.0097994
                   3,             0.04917,           0.0029967,                   0,             0.52849,             0.44374,             0.43915,             0.26614,            0.047958,           0.0014861,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.046898,           0.0030102,                   0,              0.5995,             0.46178,              0.4759,              0.2999,            0.049025,            0.001421,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.045494,           0.0030075,                   0,             0.63473,             0.43878,             0.49488,             0.33462,            0.047996,           0.0014116,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04427,           0.0030008,                   0,             0.63161,             0.44624,             0.48836,             0.31647,            0.048665,           0.0014329,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043143,           0.0029928,                   0,             0.60645,             0.45556,              0.4919,             0.30121,            0.047991,           0.0014131,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.04212,            0.002982,                   0,             0.61336,              0.4537,             0.47709,             0.30303,            0.048214,           0.0014345,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.041458,           0.0029767,                   0,             0.64273,              0.4537,              0.4859,               0.309,            0.047974,           0.0014586,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.040508,           0.0029683,                   0,             0.64933,             0.42236,             0.45648,             0.28937,            0.050455,           0.0015157,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.040569,            0.002961,                   0,              0.6516,             0.47421,             0.50975,             0.34173,            0.048259,           0.0014473,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.040078,           0.0029576,                   0,             0.65251,             0.46364,              0.4804,             0.31326,            0.048766,           0.0014699,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.039512,           0.0029647,                   0,             0.66592,             0.46053,             0.46689,             0.29887,            0.049438,           0.0014801,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038261,           0.0029595,                   0,              0.6688,             0.44051,             0.47024,             0.29993,            0.050352,           0.0014506,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038692,           0.0029494,                   0,              0.6576,             0.47359,             0.49855,             0.31999,            0.048805,           0.0014725,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.037809,           0.0029481,                   0,             0.62574,             0.45991,             0.48126,             0.30805,            0.048834,            0.001461,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.037085,           0.0029442,                   0,             0.65507,             0.45929,             0.47771,             0.30472,            0.048245,           0.0014484,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.036182,           0.0029308,                   0,             0.65849,             0.46302,             0.47502,             0.29201,            0.047962,           0.0015206,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.035258,           0.0029328,                   0,             0.65905,             0.46372,             0.48008,             0.30009,            0.048276,           0.0014599,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.034131,           0.0029084,                   0,             0.66106,             0.44971,             0.47446,             0.29678,            0.048578,           0.0014752,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.033474,            0.002916,                   0,             0.63527,             0.45183,              0.4576,             0.28084,            0.047721,           0.0014894,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.032679,           0.0028965,                   0,             0.64133,              0.4537,             0.48271,              0.3055,             0.04795,           0.0015008,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.031726,           0.0028849,                   0,             0.66866,             0.44748,             0.47333,             0.29811,            0.047483,           0.0015044,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.030346,           0.0028481,                   0,             0.63699,             0.43405,              0.4623,             0.28819,            0.047639,           0.0015037,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.029906,           0.0028341,                   0,             0.67193,             0.44562,             0.47691,             0.29673,            0.047887,            0.001499,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.029018,           0.0027984,                   0,             0.65101,             0.43567,             0.47698,             0.29782,             0.04892,           0.0014844,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.027878,           0.0027366,                   0,             0.64925,             0.44562,             0.48492,             0.30007,            0.048427,           0.0014901,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.026478,            0.002688,                   0,             0.63608,             0.44646,             0.46817,             0.29623,            0.048054,            0.001506,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.025936,           0.0026586,                   0,             0.66218,               0.445,             0.47799,             0.29624,             0.04773,           0.0015261,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.024814,           0.0025906,                   0,              0.6365,             0.43878,             0.45347,             0.27323,            0.047881,           0.0015295,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.024337,           0.0025699,                   0,             0.63543,             0.45183,             0.45631,             0.27547,            0.047897,           0.0015354,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.023241,           0.0025042,                   0,             0.64888,             0.44127,              0.4741,             0.29036,            0.048244,           0.0015336,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.02282,           0.0024611,                   0,             0.61406,             0.43505,             0.45849,             0.27768,            0.048139,           0.0015573,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.022118,           0.0024381,                   0,             0.60252,             0.44065,             0.44689,              0.2695,            0.048289,           0.0015708,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.021117,           0.0023642,                   0,             0.59075,              0.4394,             0.44771,             0.27208,            0.048791,            0.001573,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.020393,            0.002305,                   0,             0.58765,             0.44286,              0.4449,             0.26597,            0.048594,           0.0015911,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.019941,           0.0022345,                   0,             0.58398,             0.45308,             0.44624,             0.26627,            0.048502,           0.0016032,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.019505,           0.0022078,                   0,             0.59854,              0.4559,             0.45159,              0.2671,            0.048395,            0.001615,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018678,           0.0021658,                   0,             0.59972,             0.46986,             0.45817,             0.27136,             0.04824,           0.0016253,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.017956,           0.0020747,                   0,             0.60409,             0.45991,             0.45358,             0.27075,            0.048274,           0.0016327,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.017504,           0.0020298,                   0,             0.61095,             0.46164,             0.45685,             0.27244,            0.048234,           0.0016376,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.016881,           0.0019706,                   0,             0.60507,              0.4481,             0.43931,              0.2633,            0.048408,           0.0016463,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.016343,           0.0019092,                   0,             0.61921,             0.45884,             0.45398,             0.26915,            0.048505,           0.0016573,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.016036,           0.0018514,                   0,             0.62339,             0.44873,             0.45307,             0.26728,            0.048505,           0.0016697,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.015431,           0.0017997,                   0,             0.62237,             0.45479,             0.45338,             0.26622,            0.048494,           0.0016824,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.015007,           0.0017557,                   0,             0.61359,             0.45059,              0.4448,             0.26255,            0.048436,           0.0016938,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.014705,           0.0017025,                   0,             0.61719,             0.45929,             0.45442,              0.2669,            0.048494,            0.001705,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.014129,           0.0016401,                   0,             0.62286,             0.45369,             0.45384,             0.26642,            0.048499,           0.0017132,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.013899,           0.0015949,                   0,             0.62506,             0.45432,             0.45326,             0.26525,            0.048491,           0.0017225,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.013387,           0.0015339,                   0,             0.61928,              0.4537,             0.45139,             0.26384,             0.04847,           0.0017342,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.012897,           0.0014699,                   0,             0.61931,             0.45121,              0.4518,               0.262,            0.048476,           0.0017461,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.012803,           0.0014374,                   0,             0.62296,             0.44935,             0.45044,             0.26202,            0.048497,           0.0017566,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.012579,           0.0013861,                   0,             0.61541,             0.45251,             0.44776,             0.26117,            0.048496,           0.0017668,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.012406,           0.0013724,                   0,             0.61855,             0.44949,             0.44611,             0.26008,            0.048512,           0.0017768,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.012114,           0.0013122,                   0,             0.62229,             0.44645,             0.44484,             0.25893,            0.048524,           0.0017862,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.01183,           0.0012608,                   0,              0.6216,             0.44514,             0.44312,             0.25758,            0.048557,           0.0017959,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.011401,           0.0012103,                   0,             0.62516,             0.44438,             0.44226,             0.25674,            0.048578,           0.0018046,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.011095,           0.0011682,                   0,             0.62457,             0.44438,             0.44025,             0.25629,              0.0486,           0.0018131,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.010717,           0.0011178,                   0,             0.62946,             0.44313,             0.43972,             0.25534,            0.048595,           0.0018229,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.010507,           0.0010889,                   0,             0.62529,             0.44597,             0.43805,             0.25483,            0.048595,           0.0018322,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.010431,           0.0010513,                   0,             0.62186,               0.445,             0.43716,             0.25396,            0.048586,           0.0018411,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.010152,           0.0010275,                   0,             0.62262,             0.44686,             0.43585,             0.25334,            0.048569,           0.0018501,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.010139,           0.0009871,                   0,              0.6219,             0.44748,             0.43555,             0.25349,            0.048553,           0.0018594,                   0,            0.003862,            0.003862,            0.003862
                  64,           0.0097396,          0.00095361,                   0,             0.61656,             0.44624,             0.43546,             0.25338,            0.048563,           0.0018685,                   0,            0.003763,            0.003763,            0.003763
