               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073689,            0.089855,            0.001806,            0.066708,             0.20828,            0.066014,             0.02119,            0.078567,               0.071,           0.0011535,            0.070025,           0.0033306,           0.0033306
                   1,            0.066706,            0.091746,          0.00067961,             0.06553,               0.236,            0.083644,            0.028748,            0.074227,            0.073064,          0.00052946,            0.039959,            0.006598,            0.006598
                   2,            0.065504,            0.091461,          0.00056643,             0.57574,              0.2307,            0.091971,            0.032886,            0.073491,            0.073656,          0.00049378,           0.0098266,           0.0097993,           0.0097993
                   3,            0.064377,            0.090773,          0.00054141,             0.57436,             0.22419,            0.091063,            0.033323,            0.072721,            0.073422,          0.00043303,            0.009703,            0.009703,            0.009703
                   4,            0.063854,            0.090194,          0.00052013,             0.57194,             0.22446,            0.089647,            0.033214,             0.07211,            0.073667,          0.00040054,            0.009703,            0.009703,            0.009703
                   5,            0.063643,             0.08941,          0.00051431,             0.07216,             0.22097,            0.090756,            0.034405,            0.071783,            0.074153,           0.0003877,            0.009604,            0.009604,            0.009604
                   6,            0.063464,            0.088757,          0.00050675,             0.58741,             0.19656,            0.095267,            0.036478,             0.07172,            0.072832,          0.00038182,            0.009505,            0.009505,            0.009505
                   7,            0.063289,            0.087915,          0.00050482,            0.069873,             0.19417,             0.08749,            0.033818,             0.07175,            0.073875,          0.00038347,            0.009406,            0.009406,            0.009406
                   8,            0.063138,            0.086417,          0.00048395,             0.57696,             0.20756,            0.089418,            0.034531,            0.071695,             0.07463,          0.00037353,            0.009307,            0.009307,            0.009307
                   9,            0.062994,            0.084865,           0.0004892,             0.58477,             0.19056,            0.095356,            0.036501,            0.071874,            0.074994,          0.00037408,            0.009208,            0.009208,            0.009208
                  10,            0.062818,            0.083361,          0.00046176,            0.075208,             0.21267,            0.099908,            0.038051,             0.07225,            0.074228,          0.00036956,            0.009109,            0.009109,            0.009109
                  11,              0.0627,            0.082101,          0.00045161,             0.12063,             0.22996,             0.10915,            0.042843,            0.071811,            0.075606,          0.00039216,             0.00901,             0.00901,             0.00901
                  12,            0.062554,            0.080779,          0.00045653,            0.097716,             0.24928,             0.11352,            0.045665,            0.071861,             0.07642,          0.00038824,            0.008911,            0.008911,            0.008911
                  13,            0.062375,            0.079864,          0.00044323,             0.11292,              0.2711,             0.13369,            0.054661,            0.071918,            0.076161,          0.00039495,            0.008812,            0.008812,            0.008812
                  14,            0.062147,            0.079147,          0.00044578,             0.13577,             0.26269,              0.1276,            0.053361,            0.072004,            0.077607,          0.00041169,            0.008713,            0.008713,            0.008713
                  15,            0.061848,            0.078471,          0.00042502,              0.1733,             0.25826,             0.13649,            0.057408,            0.071889,            0.076764,          0.00039468,            0.008614,            0.008614,            0.008614
                  16,            0.061647,            0.077874,          0.00041971,             0.20075,             0.25763,              0.1508,            0.062717,            0.072115,            0.077438,          0.00040998,            0.008515,            0.008515,            0.008515
                  17,             0.06151,            0.077496,          0.00041032,             0.26779,             0.23816,             0.15579,            0.067831,            0.072236,            0.078655,          0.00041938,            0.008416,            0.008416,            0.008416
                  18,            0.061306,            0.077093,          0.00040612,             0.27282,              0.2531,              0.1551,            0.068322,            0.072243,            0.076597,          0.00039841,            0.008317,            0.008317,            0.008317
                  19,             0.06113,            0.076741,           0.0003976,             0.31741,             0.24386,             0.18384,            0.089619,            0.072392,            0.077919,          0.00042888,            0.008218,            0.008218,            0.008218
                  20,            0.061018,            0.076442,          0.00038055,             0.34001,             0.24751,              0.1916,            0.095476,            0.072595,            0.078006,          0.00041295,            0.008119,            0.008119,            0.008119
                  21,            0.060794,             0.07617,          0.00038172,             0.36794,             0.25436,             0.20455,             0.10389,             0.07268,            0.078594,          0.00042227,             0.00802,             0.00802,             0.00802
                  22,            0.060734,            0.075948,          0.00037036,               0.393,             0.25214,             0.20805,             0.10701,            0.072743,            0.079136,          0.00041985,            0.007921,            0.007921,            0.007921
