               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073844,            0.086148,            0.001823,            0.065028,             0.23347,            0.090731,            0.033048,            0.071516,            0.072819,          0.00066868,            0.070025,           0.0033306,           0.0033306
                   1,            0.064562,            0.089559,          0.00078643,            0.073246,             0.23642,            0.093154,            0.035815,            0.070536,            0.073011,          0.00054728,            0.039805,            0.006444,            0.006444
                   2,            0.064054,            0.088545,          0.00075703,            0.067314,              0.2183,            0.089808,            0.034623,            0.070758,            0.074977,          0.00051124,           0.0093647,           0.0093375,           0.0093375
                   3,            0.063379,            0.087807,          0.00073845,             0.47489,             0.17746,             0.22681,             0.13581,            0.070343,            0.073616,          0.00052825,             0.00901,             0.00901,             0.00901
                   4,            0.062941,            0.086743,          0.00069179,              0.4617,             0.20173,             0.25141,             0.12902,            0.070468,            0.074685,           0.0005365,             0.00901,             0.00901,             0.00901
                   5,            0.062716,            0.084972,          0.00066634,             0.48994,             0.19007,              0.2443,             0.12863,            0.070223,            0.075455,          0.00053997,             0.00868,             0.00868,             0.00868
                   6,            0.062438,            0.083326,          0.00063667,             0.58159,             0.19368,             0.25944,             0.13726,             0.07047,            0.078622,          0.00063238,             0.00835,             0.00835,             0.00835
                   7,            0.062163,            0.081595,          0.00061884,             0.50522,              0.2122,             0.27258,             0.14608,            0.070223,            0.076881,          0.00057745,             0.00802,             0.00802,             0.00802
                   8,            0.061987,             0.08018,          0.00057903,             0.49754,             0.21407,             0.27527,             0.14994,            0.070099,            0.076455,          0.00056736,             0.00769,             0.00769,             0.00769
                   9,             0.06177,            0.079112,          0.00057379,             0.49193,             0.21284,             0.27535,             0.15633,            0.070199,            0.076397,          0.00060111,             0.00736,             0.00736,             0.00736
                  10,            0.061481,            0.078222,          0.00052366,             0.52271,             0.21806,             0.28169,             0.15366,            0.070345,            0.077327,          0.00064192,             0.00703,             0.00703,             0.00703
                  11,            0.061273,            0.077624,           0.0004972,             0.49726,             0.23196,             0.29088,             0.16829,            0.070466,            0.077064,          0.00067169,              0.0067,              0.0067,              0.0067
                  12,            0.061059,            0.076984,          0.00048367,             0.48574,             0.22957,             0.28499,             0.16284,            0.070649,            0.077657,          0.00076294,             0.00637,             0.00637,             0.00637
                  13,            0.060878,            0.076528,           0.0004535,             0.44185,             0.24052,             0.28051,             0.15766,            0.070899,            0.077672,          0.00066121,             0.00604,             0.00604,             0.00604
                  14,            0.060655,             0.07611,          0.00044417,             0.43595,             0.24051,             0.28006,             0.15861,            0.070786,            0.077743,          0.00063272,             0.00571,             0.00571,             0.00571
                  15,            0.060411,            0.075643,          0.00041545,             0.44381,             0.22733,             0.27396,             0.15519,            0.071305,            0.079426,          0.00068835,             0.00538,             0.00538,             0.00538
                  16,            0.060269,            0.075199,          0.00040848,             0.48603,             0.23278,             0.28414,             0.15724,              0.0714,             0.07944,           0.0006668,             0.00505,             0.00505,             0.00505
                  17,            0.060169,            0.074855,          0.00039256,             0.46386,             0.22278,             0.27771,             0.15583,            0.071481,            0.080672,          0.00071782,             0.00472,             0.00472,             0.00472
                  18,            0.059966,            0.074489,          0.00038388,             0.46503,             0.23524,             0.28383,             0.15896,            0.071418,            0.079876,          0.00066103,             0.00439,             0.00439,             0.00439
                  19,            0.059816,             0.07407,          0.00037349,             0.45194,             0.23716,             0.27682,             0.15269,            0.071794,            0.080162,          0.00073353,             0.00406,             0.00406,             0.00406
                  20,            0.059692,            0.073706,          0.00035462,             0.47175,             0.23779,             0.28019,             0.15625,            0.072167,            0.081861,          0.00078303,             0.00373,             0.00373,             0.00373
                  21,            0.059435,            0.073313,           0.0003509,             0.47735,              0.2338,             0.27742,             0.15556,            0.072223,            0.081155,          0.00075451,              0.0034,              0.0034,              0.0034
                  22,             0.05936,            0.072959,          0.00033678,             0.47027,             0.23163,             0.27386,             0.15066,            0.072513,            0.082169,          0.00080009,             0.00307,             0.00307,             0.00307
                  23,            0.059214,            0.072535,          0.00033247,              0.4551,             0.22826,             0.26274,             0.14509,             0.07277,            0.083316,           0.0008777,             0.00274,             0.00274,             0.00274
                  24,            0.059065,            0.072072,          0.00032652,             0.43099,             0.23352,             0.25815,             0.14302,            0.072972,            0.084309,          0.00086185,             0.00241,             0.00241,             0.00241
                  25,            0.058792,            0.071701,          0.00031732,             0.40491,              0.2245,             0.24525,             0.13628,            0.073185,            0.084433,          0.00087428,             0.00208,             0.00208,             0.00208
                  26,            0.058662,            0.071255,          0.00031251,             0.40717,             0.23016,             0.24264,             0.13192,            0.073466,            0.085186,          0.00090417,             0.00175,             0.00175,             0.00175
                  27,            0.058541,            0.070889,          0.00031478,             0.39526,             0.23492,             0.24572,             0.13469,            0.073537,            0.085678,           0.0008841,             0.00142,             0.00142,             0.00142
                  28,            0.058324,            0.070452,          0.00030423,             0.39562,             0.22262,             0.24263,             0.13378,            0.073688,            0.086047,          0.00087274,             0.00109,             0.00109,             0.00109
                  29,            0.058211,            0.070092,          0.00030232,             0.41756,             0.22162,             0.24203,             0.13267,             0.07391,            0.086698,          0.00087669,             0.00076,             0.00076,             0.00076
