               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060789,            0.076539,          0.00036022,             0.41509,             0.26239,             0.29206,             0.16651,            0.070853,            0.077353,          0.00043336,            0.070025,           0.0033306,           0.0033306
                   1,            0.060788,            0.076247,          0.00035911,             0.42014,             0.25371,             0.27084,             0.15113,             0.07105,            0.078212,           0.0004284,            0.039959,            0.006598,            0.006598
                   2,             0.06089,            0.076437,          0.00035584,             0.36228,             0.25735,              0.2766,             0.15001,            0.071066,             0.07701,          0.00042506,           0.0098266,           0.0097993,           0.0097993
                   3,            0.061312,            0.078294,          0.00037619,             0.37738,             0.24724,             0.26288,             0.14866,            0.071511,            0.078017,          0.00045267,            0.009703,            0.009703,            0.009703
                   4,            0.061252,            0.078279,          0.00036084,             0.40302,             0.24983,             0.27579,             0.15863,            0.071459,            0.078361,          0.00040234,            0.009703,            0.009703,            0.009703
                   5,            0.061059,            0.077284,          0.00034615,             0.45427,             0.26526,             0.27762,             0.15319,            0.070945,            0.077503,          0.00036107,            0.009604,            0.009604,            0.009604
                   6,            0.060801,            0.076575,          0.00033215,             0.41815,             0.25907,              0.2858,             0.16411,            0.071641,            0.080039,          0.00042784,            0.009505,            0.009505,            0.009505
                   7,            0.060573,            0.076143,          0.00032594,              0.4281,             0.25897,             0.28053,             0.15494,            0.071651,            0.078266,          0.00040674,            0.009406,            0.009406,            0.009406
                   8,            0.060421,            0.075622,          0.00030802,             0.46286,             0.26937,             0.30292,             0.16688,            0.072043,            0.080065,          0.00042401,            0.009307,            0.009307,            0.009307
                   9,            0.060236,            0.075214,          0.00030494,             0.41269,             0.25988,             0.28448,             0.16543,            0.072258,            0.082499,          0.00058716,            0.009208,            0.009208,            0.009208
                  10,            0.060101,            0.074909,          0.00028888,             0.40204,             0.26129,             0.28148,             0.15685,            0.071978,            0.081416,          0.00047754,            0.009109,            0.009109,            0.009109
