               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062427,             0.14403,           0.0005905,             0.44212,             0.26072,             0.29118,             0.16157,            0.072364,            0.078097,          0.00071535,            0.070025,           0.0033306,           0.0033306
                   1,            0.062238,             0.15315,          0.00041419,             0.37759,             0.27044,             0.27661,             0.15098,            0.072114,            0.079226,          0.00068701,            0.039695,           0.0063341,           0.0063341
                   2,            0.062253,             0.15275,          0.00039715,             0.37058,             0.26283,             0.27137,             0.15211,            0.072031,            0.075866,          0.00060791,           0.0090348,           0.0090075,           0.0090075
                   3,            0.062257,             0.15177,          0.00039546,             0.38567,             0.25111,             0.27191,             0.14552,             0.07219,            0.078442,          0.00071024,            0.008515,            0.008515,            0.008515
                   4,            0.062049,              0.1519,          0.00038788,             0.36049,             0.25999,             0.25796,             0.13883,            0.072208,            0.077856,           0.0007708,            0.008515,            0.008515,            0.008515
                   5,            0.061927,             0.14904,          0.00038797,             0.35029,             0.25272,             0.24449,             0.13407,            0.072243,            0.077951,          0.00064487,             0.00802,             0.00802,             0.00802
                   6,            0.061735,             0.14629,          0.00039701,             0.38221,              0.2488,             0.25248,             0.13468,            0.072165,            0.078185,          0.00063056,            0.007525,            0.007525,            0.007525
                   7,            0.061596,             0.14577,          0.00038345,             0.37612,             0.24612,             0.23743,             0.12329,            0.072475,            0.079935,          0.00070282,             0.00703,             0.00703,             0.00703
                   8,            0.061457,             0.14333,          0.00039674,             0.37748,               0.252,             0.25176,             0.13719,            0.072301,            0.079717,          0.00064473,            0.006535,            0.006535,            0.006535
                   9,            0.061374,             0.14394,          0.00037614,             0.37094,             0.24345,             0.24156,             0.12765,            0.072373,            0.080284,          0.00060457,             0.00604,             0.00604,             0.00604
                  10,            0.061151,             0.14303,          0.00037349,             0.37388,             0.24987,              0.2471,             0.13266,             0.07281,            0.080615,          0.00063089,            0.005545,            0.005545,            0.005545
                  11,            0.061102,             0.14299,          0.00037274,             0.36309,             0.25689,             0.24636,             0.12968,            0.072522,            0.079416,          0.00056826,             0.00505,             0.00505,             0.00505
                  12,            0.060975,             0.14129,          0.00035979,             0.35508,             0.25942,             0.24495,             0.13174,            0.072311,            0.079057,          0.00052538,            0.004555,            0.004555,            0.004555
                  13,            0.060889,             0.14062,          0.00035589,             0.32696,             0.24699,             0.22648,             0.11899,            0.072587,            0.079714,          0.00063553,             0.00406,             0.00406,             0.00406
                  14,            0.060722,             0.13918,          0.00036641,             0.34934,             0.24365,             0.24103,               0.127,            0.072337,            0.079454,          0.00055479,            0.003565,            0.003565,            0.003565
                  15,             0.06077,             0.13923,          0.00035625,             0.36501,             0.25049,             0.24408,             0.13037,            0.072434,             0.08018,          0.00054716,             0.00307,             0.00307,             0.00307
                  16,            0.060622,             0.13917,          0.00035036,             0.35253,             0.25217,             0.22985,              0.1193,            0.072558,              0.0797,          0.00062705,            0.002575,            0.002575,            0.002575
                  17,            0.060606,             0.13755,          0.00036408,             0.36845,             0.25452,             0.24837,             0.13257,            0.072499,            0.080208,          0.00055363,             0.00208,             0.00208,             0.00208
                  18,            0.060596,             0.13895,          0.00034604,             0.37124,             0.25459,             0.24852,             0.13254,            0.072384,            0.079925,          0.00057915,            0.001585,            0.001585,            0.001585
                  19,            0.060452,             0.13722,          0.00035152,             0.38482,             0.25103,              0.2549,             0.13437,            0.072497,            0.080323,          0.00054298,             0.00109,             0.00109,             0.00109
