               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05997,            0.074949,          0.00029963,             0.41663,             0.27073,             0.29458,              0.1633,            0.071771,            0.079237,          0.00041252,            0.070025,           0.0033306,           0.0033306
                   1,            0.059991,            0.074827,          0.00029947,             0.41739,             0.27671,             0.29303,             0.16631,            0.071706,            0.078432,          0.00041453,            0.039695,           0.0063341,           0.0063341
                   2,            0.060019,            0.074794,          0.00029576,             0.43339,             0.26947,             0.28816,              0.1629,            0.071901,            0.078646,          0.00041867,           0.0090348,           0.0090075,           0.0090075
                   3,            0.060028,            0.074734,          0.00029746,             0.41366,             0.27054,             0.28773,             0.15828,            0.072007,            0.079607,           0.0004318,            0.008515,            0.008515,            0.008515
                   4,            0.059995,            0.074706,          0.00028886,             0.41831,             0.26496,              0.2844,             0.15776,            0.071954,            0.079815,          0.00049116,            0.008515,            0.008515,            0.008515
                   5,            0.059969,             0.07447,          0.00028765,             0.43651,              0.2604,              0.2833,             0.15999,            0.071992,            0.079672,          0.00045302,             0.00802,             0.00802,             0.00802
                   6,            0.059878,            0.074356,           0.0002837,             0.41227,             0.26463,              0.2818,             0.15517,            0.072295,            0.079436,          0.00043259,            0.007525,            0.007525,            0.007525
                   7,             0.05976,            0.074327,          0.00028434,             0.42254,             0.26919,             0.29223,             0.16321,            0.072297,            0.079737,          0.00050611,             0.00703,             0.00703,             0.00703
                   8,            0.059688,            0.074126,          0.00027377,             0.42639,             0.26227,             0.28032,             0.15547,            0.072871,            0.081995,          0.00056515,            0.006535,            0.006535,            0.006535
                   9,            0.059687,            0.074109,          0.00028292,             0.42531,             0.26691,             0.28875,             0.16045,            0.072341,            0.079931,           0.0005214,             0.00604,             0.00604,             0.00604
                  10,            0.059636,            0.073997,          0.00027103,             0.42604,             0.26004,             0.28505,             0.15647,            0.072296,            0.080681,          0.00052128,            0.005545,            0.005545,            0.005545
                  11,            0.059617,            0.073953,           0.0002709,             0.42788,             0.26477,             0.28776,             0.15884,            0.072496,            0.080481,          0.00048087,             0.00505,             0.00505,             0.00505
                  12,            0.059575,            0.073822,          0.00027352,             0.43888,              0.2674,             0.28619,             0.15715,            0.072569,            0.080627,          0.00055585,            0.004555,            0.004555,            0.004555
                  13,            0.059535,            0.073683,          0.00027073,              0.4293,             0.26241,             0.28256,             0.15306,            0.072638,            0.081113,          0.00053625,             0.00406,             0.00406,             0.00406
                  14,            0.059439,            0.073565,          0.00027371,             0.43051,             0.25683,             0.28262,             0.15368,             0.07247,            0.080084,            0.000509,            0.003565,            0.003565,            0.003565
                  15,            0.059335,            0.073434,          0.00026513,             0.45075,             0.24547,             0.27894,             0.15273,            0.072639,            0.081513,          0.00054239,             0.00307,             0.00307,             0.00307
                  16,             0.05929,             0.07328,          0.00026928,             0.43763,             0.24859,             0.27858,             0.15035,            0.072537,            0.081207,           0.0005344,            0.002575,            0.002575,            0.002575
                  17,            0.059324,            0.073149,          0.00026691,             0.44268,             0.24941,             0.27976,             0.15138,            0.072688,            0.081675,          0.00052849,             0.00208,             0.00208,             0.00208
                  18,            0.059229,             0.07307,          0.00026679,             0.42029,             0.25378,             0.27736,             0.15011,            0.072673,            0.081799,          0.00053487,            0.001585,            0.001585,            0.001585
                  19,            0.059191,            0.072885,          0.00026663,             0.42935,             0.25013,             0.27795,             0.15168,            0.072743,            0.081836,          0.00054554,             0.00109,             0.00109,             0.00109
