               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071898,            0.078588,           0.0016384,            0.074672,             0.24654,            0.091637,            0.033835,            0.070833,            0.072521,          0.00073949,            0.070008,           0.0033325,           0.0033325
                   1,            0.064221,             0.08127,           0.0008472,            0.068885,             0.23846,            0.089003,            0.034284,            0.070577,            0.073475,          0.00066866,            0.039942,           0.0065998,           0.0065998
                   2,            0.063763,            0.080438,          0.00082004,             0.49649,             0.17255,             0.23756,             0.14065,            0.070155,            0.072428,           0.0006267,           0.0098099,           0.0098011,           0.0098011
                   3,            0.063271,            0.079925,          0.00080037,             0.61395,             0.18424,             0.26016,             0.14326,             0.07009,            0.073856,          0.00064418,            0.009703,            0.009703,            0.009703
                   4,            0.062887,            0.079198,          0.00075758,             0.54758,             0.19691,             0.25985,             0.15097,            0.069959,            0.074449,          0.00061432,            0.009703,            0.009703,            0.009703
                   5,            0.062722,            0.078366,          0.00073406,             0.63855,              0.1847,             0.25804,             0.15017,            0.070314,            0.074681,          0.00063738,            0.009604,            0.009604,            0.009604
                   6,            0.062557,            0.077467,          0.00073879,             0.43643,             0.20997,             0.25787,             0.14644,            0.070513,            0.073524,          0.00063807,            0.009505,            0.009505,            0.009505
                   7,            0.062443,            0.076296,          0.00070464,              0.5567,             0.19845,             0.26044,             0.15201,            0.070579,            0.074714,          0.00068437,            0.009406,            0.009406,            0.009406
                   8,            0.062277,            0.075084,           0.0006894,             0.53787,              0.2069,             0.27432,              0.1613,            0.070652,            0.074719,           0.0007185,            0.009307,            0.009307,            0.009307
                   9,            0.062089,            0.073786,          0.00064132,             0.59887,             0.19495,             0.27373,             0.15934,            0.070487,            0.075878,          0.00075993,            0.009208,            0.009208,            0.009208
                  10,            0.061936,            0.072732,          0.00061834,             0.66004,              0.1926,             0.27254,              0.1581,            0.070486,            0.075913,          0.00074505,            0.009109,            0.009109,            0.009109
                  11,            0.061652,            0.071809,          0.00055739,             0.57259,               0.201,             0.27034,             0.15706,            0.070674,            0.076631,          0.00074743,             0.00901,             0.00901,             0.00901
                  12,             0.06142,            0.071302,          0.00052162,             0.53632,             0.22027,             0.28261,             0.16545,             0.07098,            0.076303,          0.00074833,            0.008911,            0.008911,            0.008911
                  13,            0.061146,             0.07085,           0.0004906,             0.59774,             0.20854,             0.27974,             0.16076,             0.07099,            0.078563,          0.00070599,            0.008812,            0.008812,            0.008812
                  14,            0.060976,            0.070499,          0.00046717,             0.54751,             0.21446,             0.28188,             0.16215,            0.071265,            0.078091,          0.00075515,            0.008713,            0.008713,            0.008713
