               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062442,            0.080693,          0.00065194,              0.4447,             0.23726,             0.28048,             0.15954,            0.072039,            0.074612,          0.00061349,            0.068378,           0.0016643,           0.0016643
                   1,            0.061608,            0.080499,          0.00063592,             0.45059,             0.24674,             0.28866,             0.16529,            0.067322,            0.076817,           0.0005417,            0.036629,           0.0032485,           0.0032485
                   2,            0.060811,            0.080714,          0.00063781,              0.4868,             0.23324,             0.28898,             0.16305,             0.06804,             0.07637,           0.0005397,           0.0047972,           0.0047503,           0.0047503
                   3,            0.060629,             0.08086,          0.00062867,             0.44111,             0.23415,             0.27966,             0.15739,            0.067448,            0.076773,          0.00056731,           0.0046288,           0.0046288,           0.0046288
                   4,            0.060519,            0.080649,          0.00062255,             0.41401,             0.25595,             0.27985,             0.15824,            0.067954,            0.075251,          0.00053763,           0.0046288,           0.0046288,           0.0046288
                   5,            0.060519,            0.080571,          0.00061792,             0.42947,             0.25163,             0.28867,             0.16401,            0.067592,            0.075729,          0.00054284,            0.004505,            0.004505,            0.004505
                   6,            0.060476,            0.080535,          0.00062935,             0.44467,             0.25524,             0.28988,             0.16123,            0.067579,             0.07591,          0.00056988,           0.0043812,           0.0043812,           0.0043812
                   7,            0.060435,            0.080542,          0.00062369,             0.43095,             0.24194,             0.28262,             0.16044,            0.068028,            0.074897,          0.00057804,           0.0042575,           0.0042575,           0.0042575
                   8,            0.060378,            0.080438,          0.00060677,             0.47228,              0.2396,             0.28982,             0.16332,            0.067923,            0.075648,          0.00056832,           0.0041338,           0.0041338,           0.0041338
                   9,            0.060373,            0.080506,          0.00060788,             0.43338,             0.25233,             0.28722,             0.16039,            0.067841,            0.075576,          0.00053785,             0.00401,             0.00401,             0.00401
                  10,            0.060334,            0.080459,          0.00061727,             0.46416,             0.23987,             0.28811,             0.16163,            0.067802,            0.075758,          0.00058372,           0.0038862,           0.0038862,           0.0038862
                  11,            0.060381,            0.080347,          0.00061411,             0.40075,              0.2446,             0.27802,             0.15631,            0.067758,            0.075434,          0.00058709,           0.0037625,           0.0037625,           0.0037625
                  12,            0.060316,             0.08037,          0.00059923,             0.39791,             0.23947,             0.27382,             0.15425,             0.06807,            0.075419,            0.000641,           0.0036388,           0.0036388,           0.0036388
                  13,            0.060323,            0.080286,          0.00059916,             0.42008,             0.25425,             0.28539,             0.16092,            0.067794,            0.074969,          0.00058104,            0.003515,            0.003515,            0.003515
                  14,            0.060283,            0.080264,          0.00059554,             0.44754,             0.23909,             0.28958,             0.16309,            0.067711,            0.075698,          0.00056113,           0.0033913,           0.0033913,           0.0033913
                  15,            0.060306,            0.080364,          0.00060424,             0.43942,             0.24352,             0.28522,             0.15804,              0.0678,            0.075417,          0.00060218,           0.0032675,           0.0032675,           0.0032675
