               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060807,            0.073953,          0.00049072,             0.56752,             0.21565,             0.28304,             0.16421,            0.071357,            0.077472,          0.00075952,            0.068356,           0.0016655,           0.0016655
                   1,            0.060784,            0.073914,          0.00048394,             0.52839,             0.22868,             0.28867,             0.16988,            0.071457,            0.077165,          0.00076789,            0.036607,           0.0032497,           0.0032497
                   2,            0.060792,            0.073894,          0.00047952,             0.53113,             0.22577,             0.28915,             0.16682,            0.071556,            0.077635,          0.00073492,           0.0047749,           0.0047514,           0.0047514
                   3,            0.060814,            0.073857,          0.00047673,             0.49712,             0.23715,             0.29107,             0.16505,            0.071353,            0.077501,          0.00072708,           0.0046288,           0.0046288,           0.0046288
                   4,            0.060749,            0.073809,          0.00047529,             0.47269,              0.2385,             0.28625,             0.16397,            0.071478,            0.077716,           0.0007281,           0.0046288,           0.0046288,           0.0046288
                   5,            0.060731,             0.07377,          0.00046809,             0.48934,             0.23038,              0.2865,             0.16298,            0.071626,             0.07699,          0.00070018,            0.004505,            0.004505,            0.004505
                   6,            0.060709,            0.073727,          0.00046622,             0.52242,             0.23335,             0.29197,             0.16881,            0.071729,            0.077879,          0.00076099,           0.0043812,           0.0043812,           0.0043812
                   7,            0.060687,            0.073657,          0.00046279,             0.47769,             0.23212,             0.28792,             0.16722,            0.071659,            0.077174,          0.00075353,           0.0042575,           0.0042575,           0.0042575
                   8,            0.060637,            0.073624,          0.00045385,              0.5215,             0.22325,             0.28551,             0.16397,            0.071918,            0.077319,          0.00077287,           0.0041338,           0.0041338,           0.0041338
                   9,            0.060626,            0.073565,          0.00045669,             0.51392,             0.23445,             0.29321,             0.16815,            0.071869,            0.077398,          0.00076122,             0.00401,             0.00401,             0.00401
                  10,            0.060577,            0.073492,          0.00045292,             0.52613,             0.22807,             0.28724,              0.1636,            0.071997,            0.077992,          0.00076892,           0.0038862,           0.0038862,           0.0038862
                  11,            0.060594,            0.073428,           0.0004497,             0.48147,              0.2275,             0.27724,             0.15848,            0.071913,            0.077204,          0.00077879,           0.0037625,           0.0037625,           0.0037625
                  12,            0.060482,             0.07338,          0.00044197,             0.47857,             0.22309,             0.27545,             0.15828,            0.072099,            0.078091,          0.00086161,           0.0036388,           0.0036388,           0.0036388
                  13,            0.060483,            0.073305,          0.00044337,             0.48481,             0.23347,             0.28509,             0.16313,            0.072099,            0.077885,          0.00081385,            0.003515,            0.003515,            0.003515
                  14,            0.060444,            0.073244,          0.00043652,             0.56444,             0.22131,             0.28864,             0.16424,             0.07219,            0.078036,          0.00081654,           0.0033913,           0.0033913,           0.0033913
                  15,            0.060423,            0.073172,          0.00044133,               0.467,             0.23946,             0.28654,             0.16298,            0.072205,            0.077624,          0.00078447,           0.0032675,           0.0032675,           0.0032675
                  16,            0.060405,            0.073089,          0.00043473,             0.47264,             0.23853,             0.28326,             0.16209,            0.072319,             0.07824,          0.00081322,           0.0031438,           0.0031438,           0.0031438
                  17,            0.060361,            0.073018,          0.00043831,             0.48808,             0.22612,             0.27937,             0.15832,            0.072327,            0.078066,          0.00081242,             0.00302,             0.00302,             0.00302
                  18,            0.060267,            0.072934,          0.00043094,             0.49432,             0.23346,             0.28425,             0.16097,            0.072338,             0.07847,          0.00080931,           0.0028962,           0.0028962,           0.0028962
                  19,            0.060235,            0.072857,          0.00043427,             0.48146,             0.23451,             0.28358,             0.16082,            0.072418,            0.077819,          0.00081208,           0.0027725,           0.0027725,           0.0027725
                  20,            0.060202,            0.072795,          0.00043234,             0.53388,              0.2209,             0.28367,             0.16095,            0.072462,            0.078658,          0.00083876,           0.0026488,           0.0026488,           0.0026488
                  21,            0.060185,            0.072704,          0.00043295,             0.50292,             0.22603,             0.28018,             0.15838,            0.072462,            0.078525,          0.00082947,            0.002525,            0.002525,            0.002525
                  22,            0.060124,             0.07262,          0.00041878,             0.52793,             0.22745,             0.28252,             0.15938,            0.072508,            0.078811,          0.00080708,           0.0024013,           0.0024013,           0.0024013
                  23,            0.060155,            0.072533,          0.00042037,             0.52517,             0.22078,             0.28187,             0.15848,            0.072528,            0.078978,          0.00081109,           0.0022775,           0.0022775,           0.0022775
                  24,            0.060042,            0.072447,          0.00041788,             0.54515,             0.21918,             0.28189,             0.15891,            0.072558,            0.079211,           0.0008265,           0.0021538,           0.0021538,           0.0021538
                  25,            0.060035,            0.072359,           0.0004283,             0.54802,             0.22087,              0.2798,             0.15684,            0.072615,            0.078882,          0.00082973,             0.00203,             0.00203,             0.00203
                  26,            0.060028,            0.072278,          0.00042157,             0.54519,             0.21801,             0.27735,             0.15535,             0.07264,            0.079333,          0.00084117,           0.0019062,           0.0019062,           0.0019062
                  27,            0.059963,            0.072174,          0.00042791,             0.52791,             0.22143,             0.27826,             0.15548,            0.072697,            0.079505,          0.00083616,           0.0017825,           0.0017825,           0.0017825
                  28,            0.059935,            0.072098,          0.00041797,             0.52564,             0.22336,              0.2785,             0.15546,             0.07271,              0.0795,          0.00083467,           0.0016588,           0.0016588,           0.0016588
                  29,             0.05985,            0.072007,          0.00041647,             0.55253,             0.21933,             0.27767,             0.15436,            0.072738,            0.079575,          0.00083619,            0.001535,            0.001535,            0.001535
                  30,            0.059865,            0.071927,          0.00041543,             0.56984,              0.2185,             0.27755,             0.15425,            0.072763,            0.079727,          0.00084323,           0.0014112,           0.0014112,           0.0014112
                  31,             0.05974,            0.071838,           0.0004129,             0.58231,             0.21423,              0.2772,             0.15366,              0.0728,             0.07986,            0.000852,           0.0012875,           0.0012875,           0.0012875
                  32,            0.059768,            0.071752,          0.00041275,             0.56697,             0.21532,             0.27708,             0.15324,            0.072843,            0.079996,          0.00085699,           0.0011637,           0.0011637,           0.0011637
                  33,             0.05972,            0.071684,           0.0004146,             0.56414,             0.21822,             0.27675,             0.15248,            0.072854,             0.08008,          0.00085425,             0.00104,             0.00104,             0.00104
                  34,            0.059699,            0.071589,          0.00041048,             0.57184,             0.21466,             0.27495,              0.1522,            0.072871,            0.080215,          0.00085623,          0.00091625,          0.00091625,          0.00091625
                  35,            0.059708,            0.071506,          0.00040519,             0.58482,             0.21277,             0.27524,             0.15192,            0.072895,            0.080319,          0.00085445,           0.0007925,           0.0007925,           0.0007925
                  36,            0.059626,             0.07143,          0.00040587,             0.58606,             0.21295,             0.27415,             0.15127,            0.072909,            0.080444,          0.00085658,          0.00066875,          0.00066875,          0.00066875
                  37,             0.05961,            0.071337,          0.00041253,             0.57995,             0.21442,             0.27462,             0.15127,            0.072922,            0.080535,          0.00086056,            0.000545,            0.000545,            0.000545
                  38,            0.059623,            0.071285,           0.0004036,             0.58733,              0.2137,             0.27402,             0.15065,            0.072939,            0.080645,          0.00086342,          0.00042125,          0.00042125,          0.00042125
                  39,            0.059554,            0.071199,          0.00039835,             0.59121,             0.21329,             0.27365,             0.15031,            0.072953,            0.080735,          0.00086339,           0.0002975,           0.0002975,           0.0002975
