               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072601,            0.086538,           0.0016547,            0.082347,             0.19033,            0.062263,            0.019763,            0.081367,            0.071251,           0.0019874,            0.070021,            0.003331,            0.003331
                   1,            0.066247,            0.088106,          0.00061927,            0.078022,             0.22277,            0.084241,            0.028838,            0.076665,            0.073335,          0.00085929,            0.039955,           0.0065983,           0.0065983
                   2,            0.065162,            0.087556,          0.00052586,            0.080249,             0.18227,            0.077391,            0.027209,            0.086179,            0.071797,           0.0065867,           0.0098232,           0.0097997,           0.0097997
                   3,            0.064202,            0.087162,           0.0005007,             0.06721,             0.25089,            0.094194,            0.034605,            0.072525,            0.073809,          0.00039443,            0.009703,            0.009703,            0.009703
                   4,            0.063747,            0.086547,          0.00048507,            0.068085,             0.25639,            0.092037,            0.034914,            0.072092,             0.07474,          0.00037595,            0.009703,            0.009703,            0.009703
                   5,            0.063532,            0.086077,           0.0004833,            0.067906,             0.25201,            0.094847,            0.035594,            0.071993,             0.07363,          0.00036522,            0.009604,            0.009604,            0.009604
                   6,            0.063428,            0.085669,          0.00047619,             0.56914,             0.24807,            0.096618,            0.036498,            0.071724,            0.073737,          0.00035974,            0.009505,            0.009505,            0.009505
                   7,             0.06328,            0.084922,          0.00047619,             0.06952,             0.24362,            0.098809,            0.036682,            0.071931,            0.073052,          0.00035502,            0.009406,            0.009406,            0.009406
                   8,             0.06313,            0.083891,          0.00045855,            0.072922,             0.23363,            0.086181,            0.032213,            0.072364,            0.073633,          0.00037212,            0.009307,            0.009307,            0.009307
                   9,            0.063034,             0.08283,          0.00045471,             0.57741,             0.23427,             0.10216,            0.038903,            0.071683,            0.073533,          0.00034799,            0.009208,            0.009208,            0.009208
                  10,            0.062879,              0.0812,           0.0004453,            0.079865,             0.21856,             0.10747,            0.041296,            0.071665,            0.072946,          0.00036368,            0.009109,            0.009109,            0.009109
                  11,            0.062781,             0.07968,          0.00043569,            0.095062,             0.25327,             0.11845,            0.049626,            0.071573,            0.073357,          0.00036128,             0.00901,             0.00901,             0.00901
                  12,            0.062555,             0.07848,           0.0004206,              0.1035,             0.26404,              0.1253,            0.048389,            0.071507,            0.073568,          0.00036154,            0.008911,            0.008911,            0.008911
                  13,            0.062462,            0.077413,          0.00041642,             0.17628,              0.2607,             0.13321,             0.05524,             0.07149,            0.073939,          0.00037321,            0.008812,            0.008812,            0.008812
                  14,            0.062261,            0.076517,          0.00040827,              0.2314,              0.2647,             0.15169,            0.063541,            0.071651,            0.074773,          0.00037273,            0.008713,            0.008713,            0.008713
                  15,            0.062028,            0.075891,          0.00040565,             0.24361,             0.27979,             0.15645,            0.062502,            0.071771,            0.074453,          0.00038078,            0.008614,            0.008614,            0.008614
                  16,            0.061842,            0.075454,          0.00039404,             0.27721,             0.25099,              0.1565,            0.064064,            0.071757,            0.075061,          0.00037798,            0.008515,            0.008515,            0.008515
                  17,            0.061629,            0.075039,          0.00038643,              0.3239,             0.25862,              0.1722,            0.075238,            0.071904,            0.074415,          0.00036898,            0.008416,            0.008416,            0.008416
                  18,            0.061364,            0.074607,          0.00037902,             0.36819,             0.26984,              0.1993,            0.096141,            0.072002,            0.075226,          0.00038502,            0.008317,            0.008317,            0.008317
                  19,            0.061182,            0.074242,          0.00037008,             0.39734,              0.2663,             0.20817,             0.10355,            0.072168,            0.075637,          0.00038487,            0.008218,            0.008218,            0.008218
                  20,            0.061041,             0.07406,          0.00036564,             0.41831,             0.27481,             0.22788,             0.11993,            0.072243,            0.075494,          0.00038377,            0.008119,            0.008119,            0.008119
                  21,            0.060903,            0.073704,          0.00035985,             0.42016,             0.27784,              0.2332,             0.12371,            0.072381,            0.075489,          0.00038332,             0.00802,             0.00802,             0.00802
                  22,            0.060744,            0.073477,          0.00034262,               0.434,             0.27419,             0.24041,             0.12976,            0.072454,            0.075629,           0.0003781,            0.007921,            0.007921,            0.007921
                  23,            0.060684,            0.073198,          0.00034082,             0.43171,             0.27274,             0.24267,             0.12985,             0.07245,            0.076018,          0.00038146,            0.007822,            0.007822,            0.007822
                  24,            0.060475,            0.072933,          0.00033481,             0.43333,             0.27088,             0.24508,             0.13043,            0.072668,            0.076625,          0.00039428,            0.007723,            0.007723,            0.007723
                  25,            0.060403,            0.072718,          0.00033664,             0.42818,             0.26552,              0.2467,             0.13301,            0.072693,            0.076759,           0.0003892,            0.007624,            0.007624,            0.007624
                  26,              0.0603,            0.072453,          0.00032504,             0.43805,             0.27284,             0.25104,             0.13613,            0.072809,            0.076906,          0.00039161,            0.007525,            0.007525,            0.007525
                  27,            0.060164,            0.072186,          0.00032367,             0.43543,             0.26571,             0.25182,             0.13567,            0.072924,            0.077274,          0.00039847,            0.007426,            0.007426,            0.007426
                  28,             0.06007,            0.072022,          0.00031213,             0.42334,               0.266,             0.24963,             0.13458,            0.072953,            0.077684,          0.00039899,            0.007327,            0.007327,            0.007327
                  29,            0.059902,            0.071784,          0.00030462,             0.42027,             0.26875,             0.24912,             0.13323,            0.073061,            0.078185,          0.00040126,            0.007228,            0.007228,            0.007228
                  30,            0.059811,             0.07149,          0.00029673,             0.42172,             0.26878,             0.24687,             0.13386,            0.073172,            0.078634,          0.00040395,            0.007129,            0.007129,            0.007129
                  31,            0.059603,            0.071239,          0.00029135,             0.42997,             0.27074,             0.24911,             0.13512,            0.073232,            0.078835,          0.00040979,             0.00703,             0.00703,             0.00703
                  32,            0.059511,            0.070971,          0.00028544,             0.42465,             0.27389,             0.24823,             0.13427,            0.073325,            0.079236,          0.00041464,            0.006931,            0.006931,            0.006931
                  33,              0.0594,            0.070808,          0.00028511,             0.41767,             0.27032,             0.24876,             0.13458,            0.073369,            0.079565,          0.00042548,            0.006832,            0.006832,            0.006832
                  34,            0.059274,            0.070589,          0.00027739,             0.42288,              0.2648,             0.24752,             0.13623,            0.073369,             0.07977,           0.0004306,            0.006733,            0.006733,            0.006733
                  35,             0.05911,            0.070135,          0.00027068,             0.43264,             0.26224,             0.24891,             0.13658,            0.073428,            0.079953,          0.00043056,            0.006634,            0.006634,            0.006634
                  36,            0.058931,            0.069904,          0.00026839,             0.43057,             0.26071,              0.2492,             0.13668,            0.073492,            0.080114,          0.00043335,            0.006535,            0.006535,            0.006535
                  37,            0.058778,            0.069598,          0.00026818,             0.42495,             0.26358,             0.24967,             0.13629,            0.073538,            0.080376,          0.00043597,            0.006436,            0.006436,            0.006436
                  38,            0.058669,            0.069312,          0.00025921,             0.42457,              0.2646,             0.25033,             0.13787,            0.073614,            0.080556,          0.00043799,            0.006337,            0.006337,            0.006337
                  39,            0.058491,            0.069073,          0.00025703,             0.41912,             0.26149,             0.24866,             0.13758,            0.073653,            0.080776,          0.00043869,            0.006238,            0.006238,            0.006238
                  40,            0.058353,             0.06877,          0.00025788,             0.41928,             0.26065,             0.24827,             0.13641,            0.073705,            0.080953,          0.00044034,            0.006139,            0.006139,            0.006139
                  41,            0.058161,            0.068429,          0.00025387,             0.42354,              0.2573,             0.24611,             0.13609,            0.073748,            0.081154,           0.0004431,             0.00604,             0.00604,             0.00604
                  42,            0.057951,            0.068042,          0.00024828,             0.43028,             0.25512,             0.24689,             0.13609,            0.073794,            0.081373,          0.00044808,            0.005941,            0.005941,            0.005941
                  43,            0.057807,            0.067667,          0.00024988,             0.42624,             0.25331,             0.24575,             0.13563,            0.073832,            0.081597,          0.00045116,            0.005842,            0.005842,            0.005842
                  44,            0.057628,            0.067359,          0.00024696,             0.43539,             0.25205,             0.24596,             0.13495,             0.07387,            0.081785,           0.0004542,            0.005743,            0.005743,            0.005743
                  45,            0.057439,             0.06697,          0.00025131,             0.43663,             0.24954,              0.2457,               0.135,             0.07391,            0.081994,          0.00045763,            0.005644,            0.005644,            0.005644
                  46,             0.05731,            0.066743,          0.00024009,              0.4353,             0.25104,              0.2469,              0.1355,            0.073932,            0.082187,          0.00045992,            0.005545,            0.005545,            0.005545
